barkod,adi,fiyat
8693360000000,55192 KULPLU BARDAK,30.0
8693360000000,55233 CHROMA KULPLU BARDAK 2'Lİ,36.0
8693360000000,55373 DEM KULPLA CAY BARDAGI,518.0
8693360000000,55373 DEM KULPLA CAY BARDAGI,518.0
8693360000000,55383 AYRAN BARDAK 2'Lİ,264.0
8693360000000,55411 KEYIF KUPLU CAY BARDAGI 6LI,360.0
8693360000000,55671 KULPLU BARDAK TELESKOPİK,492.0
8693360000000,55871 BARDAK KULPLU TELOSKOBİK,492.0
8693360000000,59006 PAŞABAHÇE BORCAM KAPAKLI,434.0
8693360000000,59010 BORCAM KAPAKLI TENCERE 2.8LT,618.0
8693360000000,59034 PAŞABAHÇE BORCAM KAPAKLI,434.0
8693360000000,59044 BORCAM RENKLİ TEPSİ YUVARLAK,76.0
8693360000000,59044 BORCAM RENKLİ TEPSİ YUVARLAK,76.0
8693360000000,59044 BORCAM RENKLİ TEPSİ YUVARLAK,76.0
8693360000000,59044 BORCAM RENKLİ TEPSİ YUVARLAK,76.0
8693360000000,59044 BORCAM RENKLİ TEPSİ YUVARLAK,76.0
8693360000000,59044 BORCAM RENKLİ TEPSİ YUVARLAK,76.0
8693360000000,59062 BORCAM OVAL TENCERE KAPAKLI,236.0
8693360000000,59534 BORCAM YUVARLAK IZGARA TABAN,332.0
8693360000000,59554  BORCAM DIKTORGEN IIZGARA,584.0
8693360000000,59564 LOCK&STORE SAKLAMA KABI,210.0
8693360000000,59564 LOCK&STORE SAKLAMA KABI,210.0
8693360000000,59574 LOCK&STORE SAKLAMA KABI,212.0
8693360000000,59574 LOCK&STORE SAKLAMA KABI,212.0
8693360000000,59584 SAKLAMA KABI D.DÖRTGEN 3350CC,270.0
8693360000000,59584 SAKLAMA KABI D.DÖRTGEN 3350CC,270.0
8693360000000,62511 AİDA ÇAY BARDAK 6'LI 160CC51/I4OZ,260.0
8693360000000,62708 HOLIDAY 6LI BARDAK,625.0
8693360000000,62708 RAKI BARDAĞI,126.0
8693360000000,64031 BEYKOZ ÇAY BARDAĞI,344.0
8693360000000,64041 BEYKOZ ÇAY BARDAĞI 6'LI,50.0
8693360000000,64051 BEYKOZ CAY BARDAGI 6LI,378.0
8693360000000,64071 EMİRGAN BARDAK 6LI,378.0
6700000000000,"6,7E+12",44.0
292730000000,6760 BAHARAT TK. 6'LI BEYAZ,176.0
6700000000000,6760 BAHARAT TK. 6'LI BEYAZ,176.0
8693360000000,68008 F&D KASE GLAMOUR,94.0
8693360000000,68013 F&D MAJESTY BARDAK 6LI,280.0
8693360000000,68159 F&D GRACE MUMLUK 2Lİ,60.0
6700000000000,68159 F&D GRACE MUMLUK TEK,28.0
8693360000000,68218 F&D CHOCOLATE KASE,60.0
8693360000000,68228 F&D CHOCOLATE KASE,146.0
8693360000000,68238 F&D RATTAN KASE,12.0
8693360000000,68248 F&D RATTAN GONDOL KULPLU,130.0
8693360000000,68308 F&D BUZ KOVASI,76.0
8693360000000,80002 KAVANOZ,160.0
8693360000000,80005 PASABAHCE CAM KAVANOZ 3LT,332.0
8693360000000,80006 PASABAHCE CAM KAVANOZ 4LT,370.0
8693360000000,80007 PASABAHCE CAM KAVANOZ 5LT,408.0
8693360000000,80009 PASABAHCE CAM KAVANOZ 8LT,524.0
8693360000000,80052 FRİGO SÜRAHİ,18.0
8693360000000,80117 KAPAKLI SÜRAHİ,0.0
8680040000000,80218 KULPLU KAVONOZ BARDAK,30.0
8680040000000,80218 KULPLU KAVONOZ BARDAK,30.0
8693360000000,80229 YAĞLIK-SİRKELİK,442.0
8693360000000,80229 YAĞLIK-SİRKELİK,442.0
8693360000000,80230 HOMEMADE YAĞLIK-SİRKELİK,250.0
8693360000000,80326 ŞİŞE,36.0
8693360000000,80339 ŞİŞE AKRİLİK TURKUAZ,12.0
8693360000000,80342 SISE VIDALI KAPAK,194.0
8693360000000,80342 VİDALI ŞİŞE PEMBE,94.0
8693360000000,80386 BAHARATLIK KAPAKLI KAV. 3'LÜ,140.0
8693360000000,80388 PİPETLİ BARDAK,116.0
8693360000000,80388 PİPETLİ BARDAK,116.0
8693190000000,820160-SFO KARAF AĞZI VİDALI,118.0
8693360000000,820160-SFO KARAF AĞZI VİDALI,118.0
8693360000000,95040 AQUA FİNCAN TK.6LI,776.0
8693360000000,95040 FİNCAN TAKIMI 2LI,46.0
8693360000000,95198 COUNTRY SERVİS TABAK VE KAPAK,300.0
8693360000000,95198 PATİSSERİE SERVİS TABAK VE KAPAK,670.0
8693360000000,95198 ROSES SERVİS TABAK VE KAPAK,300.0
8693360000000,95200 COUNTRY AYAKLI SERVİS TABAK VE KAP,502.0
8693360000000,95200 PATİSSERİE AYAKLI SERVİS TABAK VE,1096.0
8693360000000,PASABAHCE 95200 ROSES AYAKLI FANUS,1096.0
8693360000000,95283 BASIC TENCR.KAPAKLI 2Lİ,172.0
8693360000000,95290 HANEDAN ÇAY SETİ 4PRÇ.,76.0
8693360000000,95307 FİNCAN TAKIMI,906.0
8693360000000,95467 AYAKLI ŞEKERLİK,334.0
8693360000000,95467 AYAKLI ŞEKERLİK,334.0
8693360000000,95483 HEYBELI CAY TAKIIMI,126.0
8693360000000,95485 BEYKOZ ZEMZEM TK. 7 PARÇA,76.0
8693360000000,95561 KAHVALTILIK TK.,30.0
8693360000000,95741 KAHVALTI ÇAY BARDAĞI,126.0
8693360000000,95833 AURORA AYAKLI ŞEKERLİK,480.0
8693360000000,95889 TOKİO KASE,74.0
8693360000000,95890 TOKİO KASE,94.0
8693360000000,95929 AURORA KASE TAKIMI1+6,126.0
8693360000000,95960 AQUA FİNCAN 2Lİ,72.0
8693360000000,95961 AURORA ÇAY BARDAK 6LI,710.0
8693360000000,95961 AURORA ÇAY BARDAK 6LI,710.0
8693360000000,96165 WHORKSHOP KULPLU BARDAK 2Lİ,54.0
8693360000000,96228 ÇAY BARDAĞI 6'LI,568.0
8693360000000,96262 DAMLA TANGO RAKI BARDAĞI,334.0
8693360000000,96266 SOSLUK,92.0
8693360000000,96273 LİMON SIKACAĞI,78.0
8693360000000,96293 ÇAY BARDAĞI SET 6'LI,126.0
8693360000000,96299 KOZAN ÇAY BARDAĞI TK.,118.0
8693360000000,96300 KOZAN ÇAY BARDAĞI 12PRÇ,664.0
8693360000000,96320 NATURAL 6'LI ÇAY BARDAĞI,74.0
8693360000000,96457 AYAKLI SERVİS MİNİ PATTİSERİE,328.0
8693360000000,97242 ŞEKERLİK DİAMOND KAPAKLI,562.0
8693360000000,97343 KAPAKLI TENCERE,138.0
8693360000000,97628 METAL TELLİ KAV.BÜYÜK,44.0
8693360000000,97872 KANDILLI 6+1 SET,240.0
8693360000000,97872 TARABYA 6+1 SET,240.0
8693360000000,98328 KOMİDİN SÜRAHİSİ,256.0
8693360000000,98328 KOMİDİN SÜRAHİSİ,256.0
8693360000000,98328 KOMİDİN SÜRAHİSİ,256.0
