Stok ismi;Stok bar kodu;
98666 KAVANOZ DESENLİ;8693357372832;72
98775 ŞEKERLİK;8693357144903;242
98872 KASE AYAKLI;8693357362108;184
98872 KASE AYAKLI;8693357362208;184
98929 F&D RATTAN AYAKLI KASE;8693357159754;128
98931 F&D CHOCOLATE KASE AYAKLI;8693357159693;146
A.ARSLAN 1. CAY KASIGI 6LI;8680858201600;115
A.ARSLAN 1. CAY KASIGI 6LI;8680858206568;115
A.ARSLAN 1. PASTA BICAGI 2LI;8680858201679;130
A.ARSLAN 1. PASTA BICAGI 2LI;8680858201730;130
A.ARSLAN 1. PASTA BICAGI 2LI;8680858206650;130
A.ARSLAN 1. TATLI CATALI 6LI;8680858201594;130
A.ARSLAN 1. TATLI CATALI 6LI;8680858206551;130
A.ARSLAN 1. TATLI KASIGI 6LI;8680858201587;130
A.ARSLAN 1. TATLI KASIGI 6LI;8680858206544;130
A.ARSLAN 1. YEMEK BIÇAĞI 2Lİ;8680858201723;130
A.ARSLAN 1. YEMEK BIÇAĞI 2Lİ;8680858206537;130
A.ARSLAN 1. YEMEK CATALI  6LI;8680858201570;130
A.ARSLAN 1. YEMEK CATALI  6LI;8680858206520;130
A.ARSLAN 1. YEMEK KASIGI 6LI;8680858201563;130
A.ARSLAN 1. YEMEK KASIGI 6LI;8680858206513;130
A.ARSLAN CAY KASIKI 6LI;8680858201556;115
A.ARSLAN TATLI CATALI 6LI;8680858201549;170
A.ARSLAN TATLI KASIGI 6LI;8680858201532;170
A.ARSLAN YEMEK BICAGI 3LU;8680858201662;130
A.ARSLAN YEMEK CATALI 6LI;8680858201525;190
A.ARSLAN YEMEK KASIGI 6LI;8680858201518;190
KORKMAZ A1297 LİNA 26-5,5 TAVA 2,5LT;6700000014413;165
KORKMAZ A1297 LİNA 26*7,5 305LT BASIK TENCERE;6700000014406;308
KORKMAZ A1297 LİNA 22*11 DERIN TENCERE BYK 3,8LT;6700000014390;220
KORKMAZ A2390 36 PARCA CKB SET;6700000016806;506
ABKA 49 İSPİR ALTIN 49PARÇA SU TAKIMI;6700000016752;3780
ABKA 01 TOPRAK KAHVE YANI SU BARDAGI;6700000007491;730
ABKA 101-204 ZEMZEM TK.HD YILDIZ;6700000006739;646
ABKA 101-244 ZEMZEM TK.BY MERVE ALTIN;6700000001697;646
ABKA 101-244 ZEMZEM TK.BY MERVE PLATİN;6700000001703;646
ABKA 101-244 ZEMZEM TK.VAV ALTIN;6700000001673;1800
ABKA 101-244 ZEMZEM TK.VAV PLATİN;6700000001680;646
ABKA 1551 BAKARA EZGI SEKERLIK PLATIN;6700000007484;898
ABKA 1551 BAKARA EZGİ ŞEKERLİK ALTIN;6700000001512;898
ABKA 1551 BAROK SEKERLIK;6700000014154;730
ABKA 1551 GÜLRU ŞEKERLİK ALTIN;6700000001505;842
ABKA 1551 KARE ŞEKERLİK;6700000001475;730
ABKA 1551 KAYA ALTIN ŞEKERLİK 3MM;6700000007743;842
ABKA 1551 KAYA PLATİN ŞEKERLİK 3MM;6700000007750;842
ABKA 1551 NERGİS ŞEKERLİK;6700000001482;730
ABKA 1551 OTTOMAN ŞEKERLİK BONCUK-PLATIN;6700000001499;730
ABKA 1551 RUMEYSA ŞEKERLİK PLATIN-ALTIN;6700000003080;730
ABKA 1551 SU DAMLASI SEKERLIK;6700000014079;730
ABKA 1551 YEB.İRİS ALTIN ŞEKERLİK;6700000007767;544
ABKA 20881 NERGİS ŞİŞE;6700000001543;972
ABKA 20881 OTTOMAN ŞİŞE BONCUK ALTIN&PLATİN;6700000005411;1644
ABKA 20888 KARE ŞİŞE YATIK;6700000001550;1858
ABKA 361-391 BAROK ÇAY TAKIMI RENKLİ;6700000016738;1778
ABKA 361-391 BAROK RENKLI CAY BARDAGI;6700000014109;1120
ABKA 361-391 İRİS ÇAY TK.TURKZ.ALTIN;6700000007804;1120
ABKA 361-391 SU DAMLASI CAY TAKIMI;6700000014062;1778
ABKA 361-391 TRN.DANTEL ALTIN 3MM ÇAY TK;6700000007835;860
ABKA 361-391 BAROK SADE CAY BARDAGI TKM;6700000014093;1244
ABKA 361*391 PRESTİJ ÇAY TAKIMI;6700000015823;814
ABKA 381-251 BAKARA EZGİ ÇAY TK.6LI;6700000001666;2434
ABKA 381-251 KARE İNCE BELLİ ÇAY TK.;6700000001611;1120
ABKA 381-251 KAYA ALTIN ÇAY TK.6LI;6700000007811;1372
ABKA 381-251 KAYA PLATİN ÇAY TK.6LI;6700000007828;1372
ABKA 381-251 LÜS.GÜLRU ALTIN ÇAY TK.6LI;6700000001659;1372
ABKA 381-251 NERGİS İNCE BELLİ ÇAY TK.;6700000001628;1120
ABKA 381-251 OTTOMAN İNCE BEL.ÇAY TK.;6700000001635;1778
ABKA 381-251 RUMEYSA İNCE BELL.ÇAY TK.;6700000004094;1120
ABKA 41013 KAR TANESI KAHVE SU BARD.6LI;6700000003073;784
ABKA 41013 KARE KAHVE SU BARDAĞI 6LI;6700000004070;1124
ABKA 41013 NERGİS KAHVE SU BARDAĞI 6LI;6700000004063;646
ABKA 41013 OTTOMAN KAHVE SU BARDAĞI 6LI;6700000004100;1124
ABKA 41013 RUMEYSA KAHVE SU BARD.PLT.6L;6700000004087;432
ABKA 41013 RUMEYSA KAHVE SU BARDAĞI 6LI;6700000001222;432
ABKA 420013 İRİS ALTIN ORTA BARDAK;6700000007682;1498
ABKA 420013 KARE ORTA BARDAĞI 6LI;6700000001321;1498
ABKA 420014 BAKARA EZGI TEK BARDAK KISA;6700000016516;228
ABKA 420014 BAKARA EZGİ KISA BARDAK ALTI;6700000001376;2360
ABKA 420014 KARE KISA BARDAK;6700000007477;1404
ABKA 420014 KARE KISA BARDAK 6LI;6700000001338;1028
ABKA 420014 KAYA ALTIN KISA BARDAK 3MM;6700000007699;2360
ABKA 420014 KAYA PLATİN KISA BARDAK 3MM;6700000007705;1288
ABKA 420014 LUST.GULRU KISA BARDK.ALTI;6700000001369;1404
ABKA 420014 NERGİS KISA BARDAK 6LI;6700000001345;1404
ABKA 420014 OTTOMAN KISA BARDAK 6LI;6700000001352;1404
ABKA 420014 PRESTİJ BARDAK;6700000015793;600
ABKA 420014 RUMEYSA KISA BARD.PLT.6LI;6700000005381;1404
ABKA 420014 RUMEYSA KISA BARDAK ALTIN;6700000013997;946
ABKA 420055 BAKARA EZGİ UZUN BARDAK 6LI;6700000001291;2426
ABKA 420055 İRİS UZUN BARDAK TURKUAZ ALTI;6700000007675;1592
ABKA 420055 KARE UZUN BARDAĞI 6LI;6700000001253;1028
ABKA 420055 KAYA ALTIN UZUN BARDAK 3MM;6700000007668;2426
ABKA 420055 KAYA PLATİN UZUN BARDAK 3MM;6700000007651;2426
ABKA 420055 LUST.GÜLRU ALTIN UZUN BARDA;6700000001284;1592
ABKA 420055 NERGİS UZUN BARDAK 6LI;6700000001260;1592
ABKA 420055 OTTOMAN UZUN BARDAK ALTIN&PLATİN;6700000001277;2426
ABKA 420055 PRESTİJ BARDAK;6700000015786;600
ABKA 420055 RUMEYSA UZUN BARDAK PLT.6LI;6700000005374;1028
ABKA 420055 RUMEYSA ALTIN UZUN BARDA;6700000014000;1028
ABKA 420055 SU DAMLASI  UZUN BARDAK;6700000014048;1592
ABKA 420055 UZUN BARDAK RENKLI;6700000014147;1498
ABKA 420055 BAROK UZUN BARDAK SADE;6700000014130;694
ABKA 42381 ÇAY BARDAĞI HÜMA SET 12PRÇ;6700000016745;1120
ABKA 440141 AYAKLI BRD.BAKARA 6LI DKR.EZ;6700000001468;2620
ABKA 440141 AYAKLI BRD.BAKARA 6LI EBY EZ;6700000001451;2620
ABKA 440141 AYAKLI BRD.KARE 6LI;6700000001383;2352
ABKA 440141 AYAKLI BRD.KAYA ALTIN 3MM;6700000007712;2620
ABKA 440141 AYAKLI BRD.KAYA PLATİN 3MM;6700000007729;2620
ABKA 440141 AYAKLI BRD.LUSTERLİ GULRU 6;6700000001437;1186
ABKA 440141 AYAKLI BRD.LUSTERLİ GULRU 6L;6700000001420;1186
ABKA 440141 AYAKLI BRD.NERGİS 6LI;6700000001390;1584
ABKA 440141 AYAKLI BRD.OTTOMAN ALTIN 6LI;6700000001406;2426
ABKA 440141 AYAKLI BRD.OTTOMAN PLATİN 6L;6700000001413;2352
ABKA 440141 AYAKLI BRD.RÜMEYSA ALTIN 6LI;6700000001444;2352
ABKA 440141 AYAKLI BRD.RÜMEYSA PLT.6LI;6700000005398;1584
ABKA 440141 AYAKLI BRD.YEB.İRİS TURKZ.AL;6700000007736;2352
